AreaName,Labor-Force,Employment,Unemployment-Number,Unemployment-Rate,CensusRatios-Emp,CensusRatios-Unemp
Glen Ellen CDP,500,500,0,0.00%,0.001959,0
Graton CDP,800,700,0,5.90%,0.002902,0.006433
Guerneville CDP,"2,300","2,300",100,3.00%,0.008919,0.009745
Healdsburg city,"6,100","6,000",100,2.30%,0.023437,0.019554
Monte Rio CDP,600,500,0,7.50%,0.002067,0.005987
Occidental CDP,500,500,0,0.00%,0.001939,0
Petaluma city,"33,600","32,800",800,2.40%,N/A,N/A
Rohnert Park city,"23,500","22,900",600,2.70%,N/A,N/A
Santa Rosa city,"89,500","86,900","2,500",2.80%,N/A,N/A
Sebastopol city,"4,100","3,900",200,4.10%,0.015225,0.023185
Sonoma city,"5,600","5,400",200,3.80%,0.021085,0.029236
Windsor town,"14,200","13,800",400,2.70%,N/A,N/A
Sierra County                                               ,"1,280","1,200",80,5.90%,1,1
Loyalton city,410,380,30,6.10%,0.318538,0.328125
Siskiyou County                                             ,"17,410","16,240","1,170",6.70%,1,1
Dunsmuir city,650,610,40,5.70%,0.037778,0.032024
McCloud CDP,390,350,40,10.10%,0.021337,0.033233
Mount Shasta city,"1,590","1,570",30,1.60%,0.09641,0.021752
Weed city,"1,120","1,040",80,7.50%,0.063951,0.071903
Yreka city,"2,770","2,540",220,8.00%,0.156613,0.190937
San Joaquin County                                          ,"326,400","306,800","19,600",6.00%,1,1
August CDP,"3,100","2,700",400,11.40%,0.00887,0.017853
Country Club CDP,"4,400","3,900",500,10.40%,0.012823,0.023384
Escalon city,"3,700","3,600",0,1.30%,0.011831,0.002495
Farmington CDP,0,0,0,0.00%,0.000125,0
French Camp CDP,"1,100","1,000",100,9.90%,0.00322,0.00553
Garden Acres CDP,"4,800","4,400",400,7.50%,0.014406,0.018184
Kennedy CDP,"1,300","1,200",100,9.00%,0.003966,0.006162
Lathrop city,"9,600","9,100",500,5.20%,0.029747,0.025788
Lincoln Village CDP,"2,200","2,000",200,8.10%,0.006501,0.008987
Linden CDP,"1,200","1,200",0,2.70%,0.003753,0.001623
Lockeford CDP,"1,500","1,400",100,4.70%,0.004715,0.003637
Lodi city,"29,700","28,000","1,700",5.80%,N/A,N/A
Manteca city,"36,900","35,200","1,700",4.50%,N/A,N/A
Morada CDP,"1,600","1,600",0,2.10%,0.005208,0.001743
Ripon city,"7,700","7,400",200,3.10%,0.024174,0.012263
Stockton city,"131,300","122,200","9,000",6.90%,N/A,N/A
Taft Mosswood CDP,400,400,0,5.00%,0.001239,0.001022
Tracy city,"43,600","41,900","1,700",3.80%,N/A,N/A
Sutter County                                               ,"45,500","42,100","3,400",7.50%,1,1
Live Oak city,"3,900","3,700",200,6.20%,0.086843,0.070808
Sutter CDP,"1,700","1,600",0,2.50%,0.038475,0.012247
Yuba City city,"31,500","29,100","2,400",7.50%,N/A,N/A
Tehama County                                               ,"25,630","24,180","1,450",5.70%,1,1
Corning city,"3,100","2,800",300,9.60%,0.11577,0.205423
Los Molinos CDP,770,730,40,5.50%,0.030022,0.028975
Manton CDP,120,120,10,4.20%,0.004738,0.003343
Mineral CDP,100,80,20,19.60%,0.003229,0.013001
Rancho Tehama Reserve CDP,870,810,70,7.50%,0.033335,0.044577
Red Bluff city,"5,350","5,020",330,6.10%,0.207724,0.22474
Tehama city,150,140,10,8.10%,0.005619,0.008544
Trinity County                                              ,"4,710","4,440",270,5.70%,1,1
Hayfork CDP,"1,150","1,140",10,1.00%,0.25625,0.04142
Lewiston CDP,460,440,20,5.00%,0.099167,0.084813
Weaverville CDP,"1,200","1,100",100,8.30%,0.248125,0.374753
Tuolumne County                                             ,"21,340","20,360",980,4.60%,1,1
Chinese Camp CDP,40,40,0,0.00%,0.001765,0
Columbia CDP,780,690,100,12.50%,0.033626,0.099429
East Sonora CDP,"1,120","1,120",0,0.00%,0.055095,0
Jamestown CDP,"1,220","1,180",50,3.80%,0.05784,0.046857
Mi Wuk Village CDP,280,210,70,24.90%,0.010343,0.071429
Mono Vista CDP,"1,510","1,470",40,2.50%,0.072398,0.038286
Sonora city,"2,140","2,040",100,4.80%,0.100093,0.103429
Soulsbyville CDP,"1,130","1,060",70,6.00%,0.052007,0.069143
Tuolumne City CDP,490,490,0,0.00%,0.024165,0
Twain Harte CDP,"1,190","1,190",0,0.00%,0.058379,0
Solano County                                               ,"209,700","201,600","8,200",3.90%,1,1
Benicia city,"15,000","14,500",400,3.00%,N/A,N/A
Dixon city,"9,800","9,400",400,4.40%,0.046442,0.052338
Elmira CDP,100,100,0,4.50%,0.000423,0.000493
Fairfield city,"53,500","51,600","2,000",3.70%,N/A,N/A
Green Valley CDP,600,600,0,0.00%,0.003102,0
Rio Vista city,"3,100","3,000",100,3.10%,0.014788,0.011497
Suisun City city,"14,400","13,900",500,3.60%,N/A,N/A
Vacaville city,"46,200","44,700","1,600",3.40%,N/A,N/A
Vallejo city,"57,100","54,600","2,500",4.40%,N/A,N/A
Tulare County                                               ,"204,600","184,900","19,600",9.60%,1,1
Alpaugh CDP,400,300,100,14.50%,0.001778,0.002834
Cutler CDP,"2,300","2,000",300,12.60%,0.011034,0.014945
Dinuba city,"11,200","9,800","1,400",12.40%,0.053147,0.070497
Ducor CDP,300,300,0,9.00%,0.001369,0.001288
Earlimart CDP,"3,700","3,200",500,14.50%,0.017259,0.027467
East Orosi CDP,400,200,100,33.80%,0.001312,0.006287
East Porterville CDP,"2,400","2,000",400,17.60%,0.010712,0.021592
Exeter city,"4,900","4,400",400,8.70%,0.023973,0.021644
Farmersville city,"4,900","4,200",600,12.60%,0.022938,0.031229
Goshen CDP,"1,500","1,300",200,10.70%,0.007278,0.008194
Ivanhoe CDP,"1,600","1,500",200,9.30%,0.007968,0.007678
Lemon Cove CDP,100,100,0,12.90%,0.000328,0.000464
Lindsay city,"5,600","5,000",500,9.60%,0.027264,0.027158
London CDP,700,600,100,17.70%,0.003302,0.006648
Pixley CDP,"1,500","1,400",200,10.20%,0.007335,0.007833
Poplar Cotton Center CDP,"1,200",900,200,20.80%,0.005068,0.012523
Porterville city,"25,400","22,400","3,000",11.80%,N/A,N/A
Richgrove CDP,"1,400","1,000",400,28.40%,0.005316,0.019789
Springville CDP,300,300,0,3.90%,0.001737,0.00067
Strathmore CDP,"1,600","1,300",300,16.10%,0.007272,0.013192
Terra Bella CDP,"1,500","1,200",300,20.20%,0.006409,0.015254
Three Rivers CDP,"1,100","1,000",100,5.10%,0.005546,0.002783
Tipton CDP,"1,300","1,100",200,14.80%,0.005845,0.009585
Traver CDP,300,300,0,8.20%,0.001634,0.001391
Tulare city,"27,800","26,200","1,700",6.00%,N/A,N/A
Visalia city,"61,500","58,500","3,000",5.00%,N/A,N/A
Woodlake city,"3,500","3,000",400,12.80%,0.016275,0.02252
Woodville CDP,800,700,100,12.20%,0.003941,0.005153
Yolo County                                                 ,"108,500","104,000","4,600",4.20%,1,1
Davis city,"35,700","34,800","1,000",2.70%,N/A,N/A
Esparto CDP,"1,800","1,700",100,6.40%,0.015968,0.024836
West Sacramento city,"25,700","24,700","1,000",4.00%,N/A,N/A
Winters city,"3,900","3,700",200,5.20%,0.035646,0.044332
Woodland city,"30,500","28,900","1,600",5.30%,N/A,N/A
Yuba County                                                 ,"29,100","27,200","1,900",6.40%,1,1
Beale AFB CDP,200,200,0,9.80%,0.007114,0.011449
Challenge Brownsville CDP,300,300,0,0.00%,0.009593,0
Linda CDP,"7,000","6,400",600,7.90%,0.235556,0.296696
Loma Rica CDP,"1,000","1,000",0,2.20%,0.037439,0.012103
Marysville city,"4,800","4,400",400,8.40%,0.16111,0.215244
Olivehurst CDP,"5,300","4,900",500,8.50%,0.179434,0.244357
Wheatland city,"1,700","1,600",100,8.00%,0.057883,0.073602
