AreaName,Labor-Force,Employment,Unemployment-Number,Unemployment-Rate,CensusRatios-Emp,CensusRatios-Unemp
East Richmond Heights CDP,"2,100","2,000",0,1.60%,0.0037,0.001811
El Cerrito city,"14,000","13,600",400,2.60%,N/A,N/A
El Sobrante CDP,"7,500","7,300",300,3.50%,0.013295,0.014792
Hercules city,"14,000","13,600",400,2.80%,N/A,N/A
Kensington CDP,"2,900","2,900",0,1.70%,0.005304,0.002742
Knightsen CDP,700,700,0,3.60%,0.001214,0.001409
Lafayette city,"12,700","12,400",300,2.40%,N/A,N/A
Martinez city,"20,800","20,200",600,2.90%,N/A,N/A
Mountain View CDP,"1,400","1,300",100,5.40%,0.002456,0.004327
Oakley city,"19,900","19,200",700,3.50%,N/A,N/A
Orinda city,"9,200","9,000",200,1.90%,0.016468,0.009686
Pacheco CDP,"2,500","2,400",100,4.60%,0.004387,0.006491
Pinole city,"10,300","10,000",300,2.60%,0.018259,0.015019
Pittsburg city,"34,500","33,200","1,300",3.70%,N/A,N/A
Pleasant Hill city,"18,300","17,800",500,2.80%,N/A,N/A
Port Costa CDP,100,100,0,0.00%,0.000273,0
Richmond city,"53,300","51,400","1,900",3.60%,N/A,N/A
Rodeo CDP,"5,000","4,800",200,4.00%,0.008717,0.010994
Rollingwood CDP,"1,500","1,400",100,4.30%,0.002634,0.003623
San Pablo city,"14,000","13,500",500,3.50%,N/A,N/A
San Ramon city,"40,100","39,000","1,100",2.70%,N/A,N/A
Tara Hills CDP,"2,500","2,400",100,4.50%,0.004425,0.00634
Vine Hill CDP,"1,800","1,700",100,3.90%,0.003185,0.003925
Walnut Creek city,"34,700","33,700","1,000",2.80%,N/A,N/A
Bertsch Oceanview CDP,820,730,90,11.10%,0.077785,0.165939
Crescent City city,"1,540","1,460",80,5.20%,0.154656,0.146288
Klamath CDP,290,260,30,9.50%,0.027454,0.049127
Brawley city,"10,100","8,700","1,400",14.30%,N/A,N/A
Calexico city,"18,100","12,700","5,400",29.80%,N/A,N/A
Calipatria city,"1,200",900,300,21.70%,0.015898,0.019886
El Centro city,"18,500","15,900","2,600",13.90%,N/A,N/A
Heber CDP,"1,700","1,300",400,22.20%,0.02316,0.029961
Holtville city,"2,500","2,000",500,19.10%,0.034423,0.036706
Imperial city,"7,900","6,800","1,100",13.40%,0.117292,0.082348
Westmorland city,900,800,100,14.70%,0.013321,0.010425
Cameron Park CDP,"9,600","9,200",300,3.30%,0.10465,0.095569
Diamond Springs CDP,"5,000","4,700",300,5.10%,0.053326,0.076967
El Dorado Hills CDP,"22,900","22,200",700,2.90%,0.25149,0.202499
Georgetown CDP,"1,000",900,0,4.70%,0.01075,0.014485
Placerville city,"4,800","4,600",200,3.80%,0.051908,0.054672
Pollock Pines CDP,"3,200","3,100",100,3.00%,0.034962,0.029253
Shingle Springs CDP,"2,100","2,100",100,3.20%,0.023478,0.020733
South Lake Tahoe city,"12,500","11,900",500,4.20%,0.135157,0.161602
Auberry CDP,"1,100","1,000",0,3.60%,0.002454,0.001125
Biola CDP,600,500,100,16.30%,0.001158,0.002825
Calwa CDP,800,700,100,10.70%,0.001781,0.00267
Cantua Creek CDP,100,100,0,4.90%,0.000329,0.000221
Caruthers CDP,"1,400","1,300",100,8.80%,0.003133,0.003774
Clovis city,"53,500","51,400","2,100",3.90%,N/A,N/A
Coalinga city,"6,300","5,800",500,8.00%,0.014018,0.015205
Del Rey CDP,600,500,0,8.50%,0.001224,0.001412
Easton CDP,"1,000",900,100,8.50%,0.002286,0.002626
Firebaugh city,"3,900","3,400",500,12.50%,0.008168,0.01441
Fowler city,"2,900","2,700",200,6.80%,0.006528,0.005958
Fresno city,"233,200","219,600","13,600",5.80%,N/A,N/A
Friant CDP,200,200,0,12.00%,0.000423,0.000728
Huron city,"2,700","2,500",200,8.20%,0.00601,0.006664
Kerman city,"6,800","6,400",400,6.20%,0.015365,0.012557
Kingsburg city,"5,600","5,300",400,6.80%,0.012661,0.011475
Lanare CDP,100,100,0,8.60%,0.000153,0.000177
Laton CDP,800,700,100,9.30%,0.001694,0.002163
Mendota city,"5,000","4,200",900,17.20%,0.010031,0.025775
Orange Cove city,"3,700","3,300",400,9.90%,0.007972,0.010813
Parlier city,"6,600","6,100",500,7.60%,0.014747,0.014962
Raisin City CDP,100,100,0,6.00%,0.000301,0.000243
Reedley city,"13,000","10,800","2,200",17.10%,N/A,N/A
Riverdale CDP,"1,500","1,400",100,9.00%,0.003329,0.004105
San Joaquin city,"1,500","1,400",100,7.20%,0.003311,0.003156
Sanger city,"11,600","10,600","1,000",8.50%,N/A,N/A
Selma city,"10,700","10,000",700,6.30%,0.024071,0.020236
Shaver Lake CDP,300,300,0,0.70%,0.000712,0.000066
Squaw Valley CDP,"1,400","1,300",100,6.60%,0.003194,0.002825
Tranquillity CDP,300,300,0,0.00%,0.00064,0
Hamilton City CDP,940,920,20,2.60%,0.076659,0.029197
Orland city,"3,620","3,350",270,7.40%,0.280464,0.321168
Willows city,"2,610","2,430",180,6.80%,0.203341,0.212591
Armona CDP,"1,500","1,300",200,11.00%,0.02485,0.0366
Avenal city,"3,800","3,500",400,10.10%,0.064656,0.086222
Corcoran city,"4,600","3,900",700,15.10%,N/A,N/A
Hanford city,"25,100","23,500","1,600",6.40%,N/A,N/A
Home Garden CDP,800,700,100,11.40%,0.012547,0.01918
Kettleman City CDP,800,700,100,7.60%,0.01345,0.013197
Lemoore city,"12,200","11,500",700,5.70%,N/A,N/A
Lemoore Station CDP,"1,400","1,200",100,8.00%,0.023308,0.024107
Stratford CDP,400,300,100,23.70%,0.005926,0.021819
Arcata city,"9,100","8,600",500,5.90%,0.141026,0.237949
Blue Lake city,600,600,0,2.10%,0.009213,0.005299
Eureka city,"12,800","12,400",400,3.50%,N/A,N/A
Ferndale city,700,700,0,1.30%,0.010857,0.003932
Fortuna city,"5,100","4,900",200,4.20%,0.080061,0.095214
Hydesville CDP,500,500,0,0.80%,0.008491,0.001709
McKinleyville CDP,"8,000","7,800",300,3.30%,0.127635,0.118974
Redway CDP,800,700,0,4.30%,0.011948,0.014872
Rio Dell city,"1,300","1,300",0,2.60%,0.021362,0.015214
Trinidad city,100,100,0,0.00%,0.001863,0
Willow Creek CDP,400,400,0,2.30%,0.006863,0.004444
Big Pine CDP,700,650,50,7.70%,0.077341,0.16
Bishop city,"1,790","1,750",40,2.10%,0.20858,0.111111
Cartago CDP,10,10,0,0.00%,0.000725,0
Darwin CDP,0,0,0,0.00%,0.000483,0
Dixon Lane Meadow Creek CDP,"1,230","1,180",40,3.50%,0.141027,0.126667
Furnace Creek CDP,120,120,0,0.80%,0.014622,0.002222
Independence CDP,260,250,10,3.10%,0.029607,0.024444
Keeler CDP,0,0,0,0.00%,0.000483,0
Lone Pine CDP,820,790,40,4.30%,0.093897,0.104444
Mesa CDP,160,150,10,4.40%,0.018248,0.022222
Olancha CDP,130,120,10,8.60%,0.013897,0.033333
Round Valley CDP,210,210,0,0.90%,0.025136,0.006667
Shoshone CDP,10,10,0,0.00%,0.000725,0
Tecopa CDP,50,30,20,36.00%,0.003867,0.053333
West Bishop CDP,"1,380","1,340",30,2.50%,0.16,0.1
Wilkerson CDP,260,250,10,2.70%,0.02997,0.022222
Clearlake city,"6,200","5,720",470,7.60%,0.207439,0.310237
Clearlake Oaks CDP,800,740,60,7.80%,0.026707,0.040738
Cobb CDP,550,530,20,2.70%,0.019259,0.009749
Hidden Valley Lake CDP,"2,960","2,900",60,2.00%,0.104931,0.038997
Kelseyville CDP,"1,350","1,250",100,7.00%,0.045392,0.062674
Lakeport city,"2,470","2,400",80,3.10%,0.086863,0.049791
Lower Lake CDP,660,640,20,3.60%,0.023005,0.016017
